"TITLE","TIME","CONTENT","TYPE"
"坪林品茗包種逍遙遊 老製茶師傳藝飄花香","2018/11/19 17:32","（中央社記者黃旭昇新北19日電）新北冬茶上市，冠軍製茶師今天傳授挑選好茶的撇步。市長朱立倫表示，新北市已連續8屆奪下全國製茶技術競賽條型組冠軍，顯示新北好茶品質穩定、製茶技術純熟，值得消費者信賴。 新北市坪林區第四代茶農、新科冠軍製茶師曾添祥今天展示包種茶的製法，說明如何挑選好的包種茶。他說，品質好的包種茶除外觀呈特色「條索狀」，一心二葉是最上等的，還有手輕握微感刺手、輕捏會碎、茶梗少、葉片形狀、色澤均勻，都是挑選的撇步。 坪林國小的小茶師今天也向朱立倫示範沖泡包種茶及品茗技巧。專業小茶師展現茶藝精神，沖泡冠軍茶葉。注重香氣的包種，茶湯顏色蜜綠具花香味，香氣愈濃郁品質愈高級，與其他產區的茶葉明顯區隔。 朱立倫說，新北老茶師們不藏私、讓茶技代代相傳，年輕人得到老師傅真功夫傳授，新北的好茶連續奪得8屆「全國部分發酵茶製茶技術競賽」條形包種組冠軍。擁有「北包種、南烏龍」的美名，世代相傳製茶技術的坪林被譽為文山包種茶的故鄉。 朱立倫表示，新北茶區遍布坪林、新店、深坑、石碇等地，奪冠軍是種榮耀，但連奪8次真的讓人欽佩，這也顯示新北好茶品質穩定、製茶技術純熟，「新北好茶」不只是品牌、也是對消費者的品質信賴保證。 農業局表示，新北市茶葉生產面積750公頃，年產量400噸，產值約新台幣11億元，不僅是文山包種茶發源地，也是最大包種茶產區，產量、品質、技術，都是全國之冠。 市府農業局表示12月1日、2日、8日、9日連續兩個周末，在坪林茶業博物館旁展售，同時推出限量紀念茶盒，市府邀請民眾遊茶園欣賞山水美景、品茶香、吃香魚搭配韓國泡菜的在地茶餐料理，也可親身體驗茶農的辛勞。（編輯：張銘坤）1071119","地方"
"彰化縣長選舉 黃文玲召開記者會批藍綠","2018/11/19 17:31","（中央社記者吳哲豪彰化19日電）無黨籍彰化縣長候選人黃文玲今天開記者會，先批評國民黨縣長候選人王惠美如果選情穩定，為何不辭掉立委職務，緊接著又批評民進黨縣長候選人魏明谷用行政資源印製競選文宣。 王惠美陣營未正面回應是否要辭立委，只說選舉剩下最後5天，王惠美會一邊打選戰，一邊問政，以不負選民所託。彰化縣政府則指出，縣府印製文宣都依法辦理。 無黨籍彰化縣長候選人黃文玲今天下午在競選總部召開記者會，批評中國國民黨提名的縣長候選人王惠美以及民主進步黨提名的縣長候選人魏明谷。 黃文玲說，台灣的政黨政治已經變成幫派政治，而立委姚文智為了拼台北市長選舉宣布辭去立委職務，她要請問王惠美如果縣長選情穩定領先，為何不辭去立委職務，不辭立委代表沒有要為縣民服務的決心。 黃文玲另批評，民進黨籍彰化縣長候選人魏明谷動用縣府公家資源，印製文宣宣傳個人選舉，縣府違反行政中立，為自己宣傳，令人不齒。 王惠美陣營回應說，她相信彰化鄉親是有智慧的，眼睛是雪亮的，改造彰化，翻轉命運是彰化鄉親最大的共識。 彰化縣政府新聞處長李俊德則說，縣府的每份文宣都依法處理，絕對不會違反行政中立的原則。（編輯：陳俊碩）1071119","地方"
"碳九事故案外案  女記者遭警員闖房搜查","2018/11/19 17:28","（中央社記者翟思嘉上海19日電）中國大陸碳九洩漏事故還沒結束，又衍生案外案。一名女記者日前前往當地採訪遭官方刁難，晚間住進飯店後，又遇上警方沒有正當理由強行入房搜查。 福建省泉州4日凌晨發生石油化學品洩漏事故，東港石油化工公司在執行工業用裂解碳九裝船過程中，發生洩漏，共達6.97噸，造成多人就醫。事件發生後官方態度遮掩，在輿情發酵下才開始更新事件通報。 財新周刊今天刊發記者周辰「泉州酒店驚魂記」一文。文中講述她11日在福建泉州採訪碳九洩漏事故時，遭遇當地官方刁難與威脅。 周辰文中表示，採訪過程中她先是被腰掛執法記錄儀的人員跟蹤，當晚又有泉港區宣傳部的官員邀請她到其所住的酒店樓下與宣傳部長見面，被她委婉拒絕。 之後，由於「撰寫的稿件已經發表，我以為任務已經完成，便早早睡下」。但當晚11時，周辰突然聽到房門被房卡刷開，4名穿著警察制服的男子進入房內，自稱是派出所的，勒令她拿出身份證查驗。 隨後一名光頭警察又讓身旁的兩個協警，搜查浴室和窗台，看是否有其他人員藏身，儼然「抓嫖」。檢查期間未出示任何證件和證明文件。 在警察離開後，周辰接到酒店打來的致歉電話，酒店透露那些警察直接命令櫃台把周辰房間的房卡給他們，並沒有例行檢查更多的房間。 新京報報導，周辰本人並不願接受採訪，但她今天中午發布微信朋友圈稱，因報導碳九事件被警方騷擾事件，她全程都有錄音錄影。 當晚進周辰房間搜查的民警出自泉州市公安局泉港分局山腰派出所，報導引述該派出所人員表示，目前領導已去北京說明情況，其他情況暫不清楚。1071119","兩岸"
"康控-KY估第4季優於第3季 明年維持20%成長","2018/11/19 17:26","（中央社記者韓婷婷台北19日電）康控-KY今天舉行法說會，針對第4季展望，康控初估單季營收在新台幣18億至22億元間，維持上次法說看法相當，展望明年受惠製程優化及新增產品品項，營運成長上看20%。 康控-KY董事長呂朝勝表示，康控持續透過模具、製程技術等優勢開發新產品，每年維持20%的成長目標不變，同時藉由增加自動化比例及拉高製程優化良率，推升獲利表現，對康控-KY未來5年營運成長動能維寺樂觀態度。 針對市場高度關注的美系客戶砍單傳聞，康控-KY會計經理戴暐倫於法說會中並未直接否認，但也透露雖然iPhone XR訂單有下修，不過其去化舊機型同時重啟量產，整體第4季審慎看待，目前還在與客戶討論今年12月及明年第一季的訂單，12月考量感恩節及耶誕節需求還未做最後確認。 戴暐倫表示，目前看來預估10月及11月將是今年營收高峰，12月會較11月下滑；第4季預估整個情況還是比第3季好一點，10月獲利表現目前看來也沒有比9月差。第4季整體營收看來還是維持上次法說預估的18至22億元間水準不變。 康控-KY表示，除了聲學元件外，明年包含車用、光學及外觀件產品都將見到持續成長，車用產品今年第4季營收占比期望能拉高到5%至10%間，明年包括新能源車應用及攝影鏡頭相關外殼還有連接器等都準備進入量產。（編輯：李信寬）1071119","證券"
"香港貧窮人口達137.7萬 創9年新高","2018/11/19 17:25","（中央社記者張謙香港19日電）香港當局今天發表報告指出，去年香港貧窮人口有137.7萬人，創2009年以來新高；貧窮比重占總人口的20.1%。 但政府在其公布的2017年貧窮情況報告中指出，如果計算政府給予貧窮人口各種緩助比如綜合援助金、老人津貼等，貧窮人口則減至101萬人，比重為14.7%。 如果再算上公屋等非現金福利，貧窮人口則再減至72萬人，比重10.5%。 報告指出，香港貧窮人口增加的主因是人口高齡化等結構因素。預料隨著人口高齡化進入高峰期，貧窮數據將面對更大上升壓力。 香港當局一向從多個角度衡量貧窮問題。例如「僅足生活」的絕對貧窮概念，以及相對貧窮概念，即不能享有社會上一般人的慣常生活方式等。（編輯：邱國強）1071119","兩岸"
"日產董事長涉薪資申報不實 檢方偵辦","2018/11/19 17:57","（中央社記者楊明珠東京19日專電）日本的汽車製造商日產汽車公司（Nissan Motor Co.）董事長戈恩涉嫌曾少報自己薪資，東京地檢特搜部今天傍晚認為他涉嫌違法，要求他配合調查。 日本朝日新聞報導，64歲的戈恩（Carlos Ghosn）涉嫌曾少報自己的薪資，今天傍晚東京地檢特搜部認為涉嫌違反金融商品交易法，以有價證券報告記載造假為由，要求他配合調查。 報導說，戈恩接受調查後，如果涉嫌違法的行為屬實，可能遭到逮捕。他少申報的金額可能達上億日圓。 日本經濟新聞報導，根據日產、雷諾、三菱汽車公司3家公司的有價證券報告書等文件顯示，戈恩2017年度從日產獲得7億3500萬日圓（約新台幣2億元）、從三菱汽車拿到2億2700萬日圓、從雷諾拿到740萬歐元（約新台幣2億6400萬元）的主管薪資與報酬。 戈恩在日產陷入經營危機時，由法國汽車公司雷諾公司派到日產，1999年擔任日產的營運長（COO）、2000年就任為日產的社長，2001年6月起擔任社長兼執行長（CEO），推動日產的重建。 2005年戈恩也擔任雷諾的社長。2016年三菱汽車公司發生燃油數據造假問題，日產成為三菱汽車最大股東，由戈恩主導形成雷諾、日產、三菱汽車聯盟，他於2016年12月就任為三菱汽車董事長。（編輯：陳惠珍）1071119","產經"
"中菲走得近  傳北京投巨資改造前美軍事基地","2018/11/19 17:23","（中央社記者周慧盈北京19日電）中國國家主席習近平正式訪問菲律賓之際，外媒引述菲國官員報導，陸企葛洲壩集團將投資20億美元，在前美國克拉克空軍基地打造工業園區。 習近平日前出席在巴布亞紐幾內亞舉行的亞太經濟合作會議（APEC）領袖峰會後，於18至21日轉赴汶萊和菲律賓進行國是訪問。中國外交部表示，習近平訪問期間將與菲國總統杜特蒂（Rodrigo Duterte）會談，雙方擬發表聯合聲明。 英國金融時報（FT）中文網今天報導，杜特蒂日益「棄美親中」，目前為止最明顯的跡象之一就是陸企葛洲壩集團將投資20億美元在克拉克空軍基地（Clark Air Base）打造一個工業園區。克拉克空軍基地曾是美國駐菲律賓軍事基地。 金融時報表示，這個正在規畫的新項目將成為中國在菲國規模最大的其中一項投資，也是杜特蒂旨在振興菲律賓基礎設施「建設、建設再建設」（Build Build Build）計畫的最大項目之一。 報導說，葛洲壩集團一名高層主管證實公司已經「確定了投資意向和框架」，但表示正在等待菲方的正式回應。 這名高層說，「借助此次高級別官方訪問，我們希望推進與菲律賓基地轉換與發展管理局的合作」，「但目前此事仍然處於商業機密階段，具體訊息須由上市公司宣布。」 據報導，葛洲壩集團並非第一家近月來在菲律賓有大動作的公司。中國電信與Udenna Corporation組建的財團，已成為菲律賓第3家電信營運商牌照的臨時得標方。 Udenna Corporation是一家綜合性企業，老闆是來自杜特蒂家鄉納卯市（Davao）的商人黃書賢（Dennis Uy）。杜特蒂自2016年上任以來推動與中國建立更友好的關係，以求減少菲律賓長期以來對美國的依賴。他在同年訪問中國期間，與北京針對總值150億美元的鐵路、港口和其他基礎建設計畫達成協議。 菲律賓大學（University of the Philippines）海洋事務與海洋法研究所（Institute for Maritime Affairs and Law of the Sea）所長巴童巴卡（Jay Batongbacal）對金融時報表示，這些協議將使天平向北京傾斜。 他指出，這些協議讓中國對菲律賓擁有巨大經濟和政治影響力。如此一來，未來任何一屆菲國政府都難以在不受中國影響的情況下，做出完全獨立的決定。 另據大陸官媒中央電視台報導，習近平今天在菲律賓多家報紙發表「共同開闢中菲關係新未來」署名文章表示，杜特蒂上任後，「中菲關係又見彩虹」。 文章說，習近平這次訪菲的主要目的就是與杜特蒂就新形勢下提升中菲全方位合作深入交換意見，作出全面部署，推動中菲關係在高水平上得到更大發展。（編輯：馮昭）1071119","國際"
"日本高校來訪桃園  原住民歌舞迎賓","2018/11/19 17:51","（中央社記者吳睿騏桃園19日電）日本大阪府立箕面東高等學校今天來訪桃園市光啟高中，校方除了以原住民歌舞迎賓，更規劃了台灣小吃以及童玩等課程，希望以傳統文化為橋梁，帶動台灣與日本學校間的交流互動。 光啟高中校長陳成業受訪表示，隨著台灣與國際交流的日益密切，如何提升學生多元文化意識及擴大國際視野，就成為各校需重視的議題，校方今天特別與來自日本大阪府立箕面東高等學校的200多位師生進行交流，也希望透過文化學習，開啟兩校未來合作契機。 學生李羽晴表示，為了讓來訪師生也能認識台灣文化的魅力，校方一開始就透過原住民舞蹈社的演出，緊緊捉住師生的目光。而日本學生也以歌唱手舞表演來展現日本特有文化，隨後的交流課程，則讓日本師生分組學習製作中式料理、點心，調製手搖飲料及體驗台灣童玩等，以美食與文化為橋梁，讓日本師生更貼近台灣生活。 日本大阪府立箕面東高等學校師長代表國守正二表示，雖然只有短短半天的相處，但透過校方的交流課程，不但品嚐到美食，過程中更締結友誼，期待光啟高中師生有機會到日本的大阪回訪，了解日本教育的特色，也深化雙方的交流與聯繫。（編輯：張銘坤）1071119","地方"
"訪前澎湖縣長高植澎  陳光復政績獲肯定","2018/11/19 18:16","（中央社澎湖縣19日電）民進黨澎湖縣長候選人陳光復，今天拜訪民進黨籍首位澎湖縣長高植澎，高植澎肯定陳光復任內做好路平和社會福利等工作，未來連任後，也要參考其他候選人的好政見。 民進黨澎湖縣長候選人陳光復今天參加馬公鎖港里長者共餐活動，由競選總部人員陪同訪問在鎖港執業的醫師高植澎，高植澎肯定陳光復任內，將縣內的道路舖面改善加蓋，招商與社會福利做的很好，施政以人民為主，幫人民解決問題，期盼連任後，也要參考其他候選人的好政見。 陳光復在鎖港與老人共餐時，除了與長者一起用餐外，希望明年1月起，減少送餐盒便當，多讓社區長者共餐，增加互動機會。 高植澎是民進黨籍第一位澎湖縣長與議員，82年澎湖縣長補選，他擊敗國民黨籍鄭永發而當選縣長，是全國率先各縣市發放老人年金的縣長，卻因任內廠商捐贈5000元尾牙獎金，當時被依貪污罪法辦而停職，最終無罪定讞，後來參選議員，也是民進黨首位民代。（編輯：陳俊碩）1071119","地方"
"陽岱鋼談本季坦言辛苦 要靠雙手奪回先發","2018/11/19 17:41","（中央社記者謝靜雯台北19日電）旅日讀賣巨人隊野手陽岱鋼，近年因傷影響出賽，連2季出賽不到90場，今年雖然達成生涯百轟，但談起今年球季，陽岱鋼沉默許久後表示：「很辛苦」，也直言要靠自己雙手拿回先發位置。 陽岱鋼近年因傷影響出賽，今年4月與中日龍隊比賽遭觸身球打中、左手骨折，休息了1個半月才又重回一軍，球季後半段先發機會被壓縮，整季僅出賽87場，敲出10發全壘打、67支安打。 回顧今年球季，陽岱鋼沉默了許久後表示，「今年真的很辛苦」，今年球季春訓、熱身賽狀況保持的不錯，所做的準備沒有少，被觸身球打到當下，以為聽到的是球打到棒子的聲音，後來才發現打到手，檢查後手部骨折，「當然會沮喪，但只能接受」。 陽岱鋼直言，對棒球員而言，受傷是家常便飯，「碰到了，就要面對，學會接受現實， 保持好的心情，好在家人一直都在身邊陪伴」。 因傷影響出賽，季末先發位置也受到影響，陽岱鋼直言，有年輕球員頂上對球隊是好事，也可以激勵自己明年把身體養得更好，季後也會安排自主訓練、備戰新球季，「先發位置是從手中丟掉的，就要靠自己的雙手拿回來」。 總結今年球季表現，陽岱鋼點出，對日本球員來說，為自己打分數「就代表離退休很近了」，所以不給自己打分數，在場上就是要去享受，棒球人生有很多不同的階段，未來還有很長的一段路要走。（編輯：黃于）1071119","運動"
"饒慶鈴批普悠瑪事故 劉櫂豪:別拿這炒作","2018/11/19 17:31","（中央社記者盧太城台東縣19日電）普悠瑪事故將滿一個月，台東縣長候選人饒慶鈴指，至今未得到政府回應；對手劉櫂豪則表示，目前事件調查已進入「收斂」階段，饒慶鈴所言不實，籲別拿台東鄉親的痛炒作。 選舉進入倒數，國民黨台東縣長候選人饒慶鈴今天上午在車隊掃街前表示，普悠瑪事故發生將近一個月，但受傷和罹難家屬到現在尚未等到中央確切的回應，她會繼續追求真相大白。 民進黨台東縣長候選人劉櫂豪表示，普悠瑪事故是每個人都不願意看見的，而在事件發生後，他立即積極協助與陪伴家屬，並督促交通部應儘速釐清事故真相，日前日商公司承認疏忽問題，他也隨即在立法院召開記者會，要求交通部儘速查明。 日前政院政務委員、普悠瑪事故調查小組召集人吳澤成也表示，目前調查已進入能展開原因歸納、發掘問題、提出對策的收斂階段，事實並非如同饒慶鈴所說的。 劉櫂豪表示，相信台東鄉親要的是真相與安全回家的路。安全不應該被作為選舉考量，如果選在選前報告，恐怕又淪為互噴口水，無法理性討論，黨團大會已定27日讓行政院長賴清德報告。 劉櫂豪表示，普悠瑪事故是大家都不願意發生的事故，所以更要理性討論，如此才能夠還給台東鄉親一個真相，也才能真正還給台東民眾安全回家的路。呼籲對手，不要在這時候選擇用台東鄉親的痛來炒作選舉，避免造成鄉親的二次創傷。（編輯：吳佳穎）1071119","地方"
"台泥：陸擴大基建又調降能源及煤價 有利水泥業","2018/11/19 17:10","（中央社記者韋樞台北19日電）台泥公司總經理李鐘培說，美中貿易戰談判露出曙光，因為美國開始擔心物價高漲、通膨再起，中國則重施2008年金融危機時擴大基礎建設及降低能源和煤價政策，這些均有利水泥業發展。 台泥集團旗下3大公司今天舉行法說會，李鐘培在會中對美中貿易戰發展露出曙光表示樂觀，並認為擴大基礎建設有利水泥業發展。 李鐘培表示，美中貿易戰是未來3年全球經濟最大事，美中之間貿易逆差多達3700億美元；美國從今年6月15日起陸續對許多自中國進口的商品課高關稅，明年元旦可能全面對自中國進口的商品課徵25%的關稅；另外美國期中選舉之後兩大黨都支持對中國貿易採取更強硬的立場，因此目前很難評估對中國出口影響多大，但9月17日至今中國大陸對此相當安靜，採取冷處理原則。 李鐘培指出，近日美中貿易戰的氣氛出現微妙變化，主要關鍵在於貿易戰有無影響人民的生活。例如最初對500億美元中國大陸商品增加關稅，短期無助改善貿易赤字，且美國也不易找到替代品，因此物價升高，生活費用變貴，美國聯準會（Fed）也升息，明年估計還有4次升息。 李鐘培說，在這些對民生的衝擊下，美國總統川普最怕的就是政府21兆美元負債的利息支出，且企業抵押貸款成本上升，中小企業借款困難，但估計Fed明年會再升息，讓川普擔心的事情不斷惡化。 李鐘培說，凡是和通膨有關的事情，都是美國施政上最重要的事，因此美中貿易談判露出曙光，希望能化解不斷惡化的國內經濟。 對中國大陸來說，面對美中貿易戰和國際間經濟成長趨緩，李鐘培發現，中國大陸政府重施化解2008年金融危機的招數，包括降息、寬鬆銀根刺激經濟，以及擴大各項基礎建設，甚至為了提高出口競爭力，能源和煤的價格都在下跌。 他強調，中國大陸政府擴大各項基礎建設來刺激經濟成長，並下調能源和煤炭價格，對煤炭價格占製造成本4成的水泥業來說非常有利；同時再加上台泥所有環保措施標準做得比中國大陸政府要求更嚴格，估計未來因環保因素被要求停工的機率大大降低，更有利營運。（編輯：李信寬）1071119","產經"
"宏碁搶AIoT商機 施振榮：台灣扮關鍵推手","2018/11/19 17:09","（中央社記者江明晏台北19日電）宏碁瞄準AIoT商機，推出aiSage人工智慧邊緣運算裝置搶市，宏碁榮譽董事長施振榮盼能在醫療、零售、自駕車等領域普及運用，同時看好全球快速進入AI時代，台灣可以扮演關鍵角色。 人工智慧（AI）與物聯網（IoT）快速匯流的 AIoT（AI + IoT）世代來臨，宏碁自建雲智慧產品事業看好運算技術將逐漸從雲端運算轉向邊緣運算，AIoT也將驅動各式智慧裝置應用的發展，推出實時智慧、軟硬整合的aiSage人工智慧邊緣運算裝置，為企業提供更多貼近終端的客製化解決方案。 宏碁公司榮譽董事長暨自建雲首席建構師施振榮指出，這樣的工具，雖然不會像個人電腦出貨量那麼大，但也希望全球包括醫療、零售、自駕車等領域，都能普及運用，關鍵將是生態與價值鏈的發揮，宏碁提供台灣最擅長的硬體，以及好的軟體與雲端平台，讓全球快速進入AI時代。 他表示，台灣過去比較缺的是AI及雲端方面的連線平台，宏碁多年建構基礎，提供台灣創新能量與產業基礎共襄盛舉，希望AIoT的普及化就像電腦，而台灣可以扮演關鍵角色。 宏碁公司自建雲智慧產品事業總經理施宣輝表示，aiSage簡單說就是有運算能力的照相機，整合聯網後，讓推廣機器視覺更快，目前aiSage已與零售、長照、建築以及資安等垂直應用領域展開合作，並積極結盟各式AI解決方案供應商。 宏碁今天也宣布多家解決方案供應商與案例，如訊連科技FaceMe臉部辨識引擎，支援Amazon Kinesis Video Streams，攜手加雲聯網打造智慧樓宇解決方案；與緯創資通合作智慧型照護整合方案，協助漢神百貨導入智慧零售解決方案，以及整合安碁資訊的資安妙管家、宏碁智雲健康管理平台、智雲體管理系統和宏碁智雲看板等多項宏碁雲端家族的垂直應用。 此外，宏碁旗下投入VR應用開發的宏星技術日前宣布終止公司股票興櫃並取消公開發行。 針對未來宏碁小金雞IPO（首次公開發行）計畫，施振榮回應，「要分才會拚，要合才會贏」，後續會挑選相對成熟的狀況，才會IPO。（編輯：張均懋）1071119","產經"
"王金平首度偕丁守中拜票 直搗綠營票倉","2018/11/19 17:07","（中央社記者黃麗芸台北19日電）選前倒數5天，中國國民黨台北市長候選人丁守中今天在前立法院長王金平和國民黨副主席郝龍斌陪同下，直搗綠營票倉大同區掃街拜票，盼打一場漂亮選戰。 北市選情緊繃，丁守中勤跑基層不鬆懈，今天下午在王金平、郝龍斌、同黨籍北市立委和市議員陪同下，到傳統綠營票倉大同區迪化街掃街拜票，包括媒體和搶合照民眾都將現場擠得水泄不通。 媒體會前聯訪詢問如何看國民黨選情高漲，以及黨內高雄市長候選人韓國瑜的選情。王金平表示，藍營選情可以說比以前高漲很多，且認為韓國瑜選情不錯，大家都非常支持。 談到國民黨主席吳敦義失言是否影響高雄選情，王金平僅說，還不清楚有無影響，還在了解各界反應中。 媒體追問北上輔選是否代表高雄選情穩定，王金平表示，自己和丁守中是老同事，先前丁曾拜訪邀請輔選，但自己一直都還沒幫忙站台過，今天才特地北上力挺。 力拚選戰的丁守中近來喉嚨都喊到啞了，隨身配戴麥克風才能拜票，他會前受訪時說，感謝王金平和立院同仁陪他掃街，認為王金平過去都相當照顧立院同仁，每次出馬都給予最大加分。 對於作家吳祥輝在臉書發文說「棄柯保姚」，丁守中則認為，應棄台灣經濟落後、低薪窮忙，來保經濟發展和安居樂業。 郝龍斌也表示，今天黨內同志都幫丁守中拜票、也幫國民黨造勢，現在國民黨氣勢起來、支持者熱情回來，對未來選舉報樂觀態度，由於大同區過去傳統支持國民黨群眾較少，希望在此打漂亮選戰，以爭取勝選，認為高投票率是關鍵因素，要積極到各處催票。 他也提到，中選會對公投意見書重公告致歉一事，直指中選會是獨立選務機關，不但違反選舉中立原則還違反法院判決，為台灣司法惡例，不僅喪失中選會公信力，也讓民眾不再信服選務機關，最後仍呼籲民眾要對反核食公投投下同意票，不要被中選會所迷惑。 丁守中一行人隨後進行沿街拜票，許多民眾都拿出手機拍照、合影和握手，中途行經霞海城隍廟時，廟方也帶領丁守中上香祈求風調雨順，討個「凍蒜」好彩頭。（編輯：張銘坤）1071119","地方"
"瑞士驚天逆轉勝比利時  晉歐國聯4強","2018/11/19 17:14","（中央社瑞士琉森18日綜合外電報導）歐洲足球總會「國家聯賽」（UEFA Nations League），瑞士今天上演驚天逆轉秀，靠塞佛洛維奇演出帽子戲法，在自家以5比2後來居上擊敗比利時，晉級歐國聯4強。 這場歐國聯A聯盟第2組賽事，比利時開賽第2及第17分鐘就靠哈札德（Thorgan Hazard）連進2球取得領先，逼得瑞士必須贏2球以上才能晉級。 但主場作戰的瑞士韌性十足，靠羅德里格斯（Ricardo Rodriguez）罰進12碼及塞佛洛維奇（Haris Seferovic）梅開二度，上半場踢完就以3比2反超。 瑞士隊下半場依舊攻勢頻頻，埃爾韋迪（Nico Elvedi）第62分鐘破門，塞佛洛維奇於傷停補時的第92分鐘攻進第3球完成帽子戲法，幫瑞士戲劇性完成逆轉秀。 除瑞士之外，晉級明年6月歐國聯決賽週者還有葡萄牙與英格蘭，4強最後一張門票究竟是法國或荷蘭出線，19日將見分曉。（譯者：陳亦偉）1071119","運動"
"法人：汽車零件成長 百達-KY業績可年增5%到7%","2018/11/19 17:01","（中央社記者鍾榮峰台北19日電）百達-KY到年底前可受惠高單價設備入帳，醫療滅菌盒產品第3季開始出貨，明年設備出貨正向看待，汽車零配件可穩健成長。法人預估，百達-KY今年業績可年增5%到7%。 百達-KY今天下午參加證交所舉辦主題式業績發表會。 展望今年業績，百達-KY財務長許書祥表示，今年受惠電子和汽車產業需求，帶動自製沖床產品出貨，儘管今年印尼盾貶值幅度劇烈，此外中國大陸市場業績波動，不過10月公司業績回穩，11月和12月有高單價設備營收可入帳，預估今年有22台以上設備出貨。 展望明年，許書祥表示，今年第4季到明年第1季會把部分成本上漲反映給客戶，產品價格會進行調整；此外公司有機會受惠兩家競爭對手遇到市場競爭的轉單效應。 觀察在手訂單，許書祥預期，明年第1季有2台設備訂單在手，也有韓國公司詢問設備報價，預期明年2月到3月可明朗，對於明年設備出貨正向看待。 在汽車零配件部分，許書祥表示，福斯（VW）新車皆採用MQB平台，已滲透零件售量成長可期，加上預期今年到2020年，大眾中國發布10款運動休旅車（SUV）新品，百達-KY在汽車零配件出貨也正向看待。 在醫療產品部分，2015年百達-KY投入醫療器械製造，目前已有醫療滅菌盒、剪刀止血鉗等產品，今年第3季開始出貨。 從產品營收比重來看，今年第3季汽車零配件占比約79%，機車零配件占比約5%，設備和其他占比約16%。 展望今年業績，法人預估，百達-KY今年業績可成長幅度約5%到7%區間。 法人指出，百達-KY先前與英特爾合作開發均熱片，也打進連接器廠商供應鏈提供設備。 百達-KY自結10月合併營收新台幣2.04億元，較去年同期成長16.4%，累計今年前10月自結合併營收18.41億元，較去年同期成長7.8%。今年前3季稅後淨利8666萬元，每股稅後純益2.14元。 百達-KY主要銷售生產汽機車零組件與沖壓生產線設備，客戶以第1階（tier 1）汽車零配件廠商為主，前幾大客戶包括佛吉亞（Faurecia）集團、恩坦華（Inteva）、Akebono、博世（Bosch）等，打進包括BMW、福特（Ford）、福斯（VW）、TOYOTA、NISSAN等車廠供應鏈。其中福斯占百達-KY整體業績比重約5成。（編輯：蘇志宗）1071119","產經"
"柬埔寨航空布局台灣 21日首航台中","2018/11/19 18:35","（中央社記者汪淑芬台北19日電）柬埔寨航空今年積極布局台灣，10月9日已開航台北-暹粒（吳哥），每週兩班，今天預告，11月21日首航台中-金邊，也是每週兩班。 柬埔寨航空為傳統型航空公司，以定期包機方式飛台灣，使用150人座空中巴士A319機型，機上供應餐食，同時有免費託運行李服務。 柬埔寨航空說，21日首航台中的班機，將滿載150名柬埔寨遊客，估計這條新航線每年可為台灣帶來近兩萬名柬埔寨旅客。 柬埔寨航空看好台柬兩地大量的商業及觀光需求，未來還將開闢「高雄-金邊」等航線，對台灣推動新南向，有實質的助益 。 柬埔寨航空Cambodia Airways去年成立，目前只有3架A319飛機，以柬埔寨金邊、暹粒和西哈努克港為主要運營基地。 柬埔寨航空說，計畫未來5年內，引進20架A320系列飛機，經營柬埔寨至台灣、泰國、越南、新加坡、菲律賓、緬甸、老撾、馬來西亞、印尼、韓國、日本、及港澳地區的航線，並逐步擴大到澳大利亞和歐洲。（編輯：黃于）1071119","生活"
"背水一戰選市長  姚文智簽署立委辭職書","2018/11/19 18:23","（中央社記者游凱翔台北19日電）民進黨籍台北市長候選人姚文智背水一戰，昨天在上萬名支持者面前宣布請辭立委，今天下午在中正、萬華區掃街的路途中簽署立法委員辭職書，宣示參選決心。 立法院秘書長林志嘉下午向中央社記者表示，今天立法院人事處已經收到姚文智的辭職書，是11月18日辭去立法委員，後續會通知中選會，因為姚文智是區域立委需要補選，就由中選會安排相關作業、依法處理。 距離24日選舉投票日倒數5天，姚文智昨天在台北市政府廣場舉辦「手牽手，護台北」活動，為了展現參選決心，在上萬名支持者前，宣布請辭立法委員。 姚文智下午進行中正、萬華區車隊掃街，從北平東路的競選總部出發，行經新生南路、仁愛路、金山南路、和平西路、中華路、西藏路、康定路、桂林路、重慶南路、忠孝西路一帶，而同黨議員候選人吳沛憶、顏聖冠、周威佑、劉耀仁也隨行拜票。 沿途不少民眾熱情給予回饋，向姚文智比「讚」祝福當選，但行經南機場夜市時則有民眾不滿的「比中指」，姚文智仍微笑以對，揮手致意。 此外，姚文智立委辦公室的助理特別從立法院送上立法委員辭職書，姚文智在競選車上簽名後向民眾展示，象徵參選的決心。 中央選舉委員會副主委兼發言人陳朝建昨天表示，由於這一屆立委任期至2020年1月31日，所遺任期超過一年，因此依法應自辭職之日起3個月內完成補選投票。 至於何時補選，依規定是於辭職之日起3個月內完成補選投票。中選會表示，所謂辭職之日，是「請辭時間以書面送達至立法院，並以立委所載的辭職日期為準」。（編輯：李亨山）1071119","地方"
