流水號,X,Y
890523,274332.4688,2760223.75
890524,274475.125,2760199.75
890525,274442.9063,2760178.5
890526,274414.2188,2760153
890527,274486.625,2760082.5
890528,274524.4063,2760048
890529,274516.7813,2760031
890530,274456.9375,2759983.75
890531,274428.25,2759972
890532,274386.3438,2759928.75
890533,274382.3438,2759874.25
890534,274369.125,2759843.75
890535,274349.6563,2759880.5
890536,274323.2188,2759830
890537,274306.25,2759800.25
890538,274386.7813,2760101
890539,274355.9375,2760052.5
890540,274319.4375,2760084
890542,274328.5,2760106.75
890543,274276.8438,2760078.75
890544,274240.1563,2760122.25
890545,274279.2188,2760121.75
890546,274241.1875,2760155.5
890547,274215.3125,2760150.25
890548,274192.8438,2760138
890549,274156.375,2760174.75
890550,274126.75,2760181.75
890551,274103.6875,2760200.75
890552,274076.5625,2760205.25
890555,274063.7813,2760193.5
890556,274494.4688,2760135.25
890557,274625.7813,2760067.5
890558,274591.125,2760034.25
890559,274566.2813,2760009.5
890560,274548.4688,2759985
890561,274586.8438,2759956
890562,274528.5313,2759951.75
890564,274562.9063,2759918
890565,274540.8125,2759889
890566,274774.625,2759935
890568,274758.5,2759903.25
890570,274739.7188,2759865
890571,274725.1563,2759834.5
890572,274719.7813,2759789.75
890574,274503.2813,2759258.25
890575,274516.5313,2759283.75
890576,274536.0938,2759322.25
890577,274552.9375,2759355.5
890578,274567.4688,2759391.5
890580,274546.4688,2759409.5
890581,274500.0938,2759418.5
890582,274495.9375,2759441.25
890584,274490.4063,2759466.75
890585,274577.1563,2759421.25
890587,274603.9375,2759445
890588,274645.7188,2759443.5
890589,274619.1563,2759424
890590,274618.4688,2759397.5
890591,274593.0938,2759467.25
890592,274601.875,2759492.25
890593,274628.8125,2759512.25
890594,274641.7813,2759488
890595,274637.1563,2759464
890596,274655.625,2759519.5
890597,274668.7813,2759516.25
890598,274675.4688,2759556
890599,274690.9375,2759499
890600,274616.875,2759530.25
890601,274602.7813,2759535.75
890602,274627.25,2759548.5
890603,274648.25,2759577
890604,274668.75,2759596.75
890605,274695.3125,2759622
890606,274708.8125,2759651.75
890607,274728.7188,2759670.25
890608,274767.7188,2759689
890609,274791.4375,2759711.75
890610,274800.6875,2759704.75
890611,274818.9688,2759689.25
890612,274840.0313,2759673.25
890613,274858.6875,2759653.5
890614,274840.75,2759618.5
890615,274873.3438,2759654.75
890616,274864.1563,2759635.5
890617,274903.6875,2759627
890618,274930.25,2759619
890619,274845.1875,2759598.25
890620,274892.625,2759581.5
890621,274920.4375,2759572.75
890622,274830.625,2759560.5
890623,274886.3125,2759540.75
890624,274912.5625,2759540.5
890625,274749.375,2759733.5
890626,274731.0313,2759732
890627,274776.5313,2759752.5
890628,274738.9375,2759780.25
890629,274803.375,2759753.75
890630,274823.6875,2759781.75
890631,274852.4688,2759783.5
890632,274828.875,2759809.5
890633,274811.4375,2759822
890634,274761.1875,2759855
890635,274854.75,2759828.75
890636,274870.0938,2759850.75
890637,274856.875,2759872.5
890638,274925.5313,2759813
890639,274901.4688,2759798.75
890640,274871.25,2759769
890641,274832.3438,2759732.5
890642,274962.5625,2759775.75
890643,274951.0313,2759765.5
890644,274919,2759779.75
890645,274958.9063,2759735.25
890646,274936.7188,2759752.25
890647,274902.9375,2759733
890648,274924.25,2759720.5
890649,274886.8438,2759719
890650,274873.6563,2759733.75
890651,274854.5625,2759743.25
890652,274927.8125,2759668.5
890653,274907.3125,2759652.5
890654,274862.6875,2759695.25
890655,274853.5625,2759710.5
890656,274892.6875,2759665
890657,274984.9063,2759752
890658,274974.25,2759744
890659,274968.4063,2759720.5
890660,274956.8438,2759686.75
99721018,274956.8438,2759686.75
890661,274948.2813,2759662.25
890662,274940.9688,2759633
890663,274932.9063,2759574.25
890664,275019.9688,2759699
890665,275034.9688,2759679.5
890666,275048.125,2759652
890667,275033.875,2759641.75
890668,275000.5938,2759616.25
890669,275067.875,2759637.5
890670,275138.5313,2759555.5
890671,275173.9063,2759511.5
890672,275206.125,2759473
890673,275076.6563,2759624.25
890674,275074.8125,2759608.75
890675,275061.0625,2759601.25
890676,275040.5,2759589.75
890677,275027.6563,2759579
890678,275013.3438,2759569.25
890679,274995.75,2759555
890680,274980.3438,2759541.75
890681,274962.6875,2759524.25
890682,274950.0625,2759510
890683,274940.625,2759499.75
890684,274929.5313,2759488.75
890685,274911.4688,2759468.75
890686,274893.2813,2759449.25
890687,274879.0938,2759435.75
890688,274865.9688,2759424
890689,274847.5313,2759407
890690,274829.5,2759409.75
890691,274785.9688,2759407.25
890692,274779.625,2759403.5
890693,274770.6563,2759435.5
890694,274828.7813,2759388
890695,274811.3438,2759373.75
890696,274795.875,2759360.5
890697,274778.75,2759344.25
890698,274762.6875,2759329.75
890699,274798.4063,2759327
890700,274826.3125,2759352
890701,274837.4688,2759362
890702,274846.625,2759371
890703,274858,2759380.75
890704,274867.1563,2759390
890705,274877.0625,2759399.75
890706,274895.625,2759414.25
890707,274911.4375,2759430
890708,274927.5313,2759447.75
890710,274939.1563,2759460.5
890712,274953.2813,2759475
890715,274967.625,2759491.75
890716,274978.0313,2759501.5
890718,274993.4688,2759517
890719,275010.7813,2759534
890720,275025.0938,2759545.25
99720329,275043.8125,2759558
99720330,275066.375,2759572.25
99720331,275077.8438,2759579.25
99720332,275096.5938,2759587.5
99720335,275105.2188,2759586.25
99720336,275083.5938,2759599.5
99720337,275083.5938,2759599.5
99720338,275053.5313,2759581.75
99720339,275053.5313,2759581.75
99720340,275029.3125,2759565.25
99720341,275029.3125,2759565.25
99720342,274989.5,2759532
99720343,274989.5,2759532
99720344,274969.875,2759512.25
99720345,274969.875,2759512.25
99720346,274945.5313,2759486.25
99720347,274945.5313,2759486.25
99720348,274925,2759463.5
99721019,274925,2759463.5
99720349,274895.625,2759433.25
99721020,274895.625,2759433.25
99720350,274868.625,2759407.25
99721021,274868.625,2759407.25
99720351,274852,2759393
99721022,274852,2759393
99720352,274828,2759371
99721023,274828,2759371
99720353,274804.9063,2759349.75
99722793,274804.9063,2759349.75
99720354,274774.7813,2759322.25
99721024,274774.7813,2759322.25
99723277,0,0
99723568,274712.298,2759641.542
99723567,274725.298,2759626.542
99723569,274746.298,2759601.042
99723572,274758.798,2759621.542
99723573,274782.298,2759642.542
99723574,274805.298,2759665.542
99723570,274748.298,2759582.542
99723571,274776.298,2759572.042
99723578,274789.798,2759534.042
99723575,274803.298,2759558.042
99723576,274813.298,2759569.042
99723577,274829.798,2759601.042
99724231,0,0
99726153,0,0
99724232,0,0
99724233,0,0
99724549,274214.84,2760183.88
99724550,274183.16,2760194.31
99726652,0,0
99720355,274423.5938,2760194
99720356,274752.375,2759899
99720357,274689.0938,2759450.25
99720358,274661.4688,2759584.75
99720359,274775.1875,2759751.25
99720360,274789.4688,2759743
99720361,274728.75,2759683.5
890721,273215.25,2760307.75
890722,273219.5,2760282.75
890723,273230.5625,2760252.5
890724,273252.6875,2760218.25
890725,273236.2188,2760222.75
890726,273209.75,2760219
890727,273184.5625,2760207
890728,273160.6563,2760194.75
890729,273120.125,2760166
890730,273266.6563,2760176
890731,273224.125,2760155
890732,273164.1563,2760126.25
890733,273112.1875,2760104
890734,273215.8125,2760134.75
890735,273210.4375,2760118.75
890736,273208.0313,2760094.5
890737,273179.8125,2760076.5
890738,273240.7813,2760088.5
890739,273247.375,2760111.75
890740,273275.6563,2760089
890741,273300.875,2760097.75
890742,273347,2760106.25
890743,273316.4375,2760172.75
890744,273332.1563,2760141
890745,273363.5938,2760070
890746,273384.2813,2760045
890747,273398.6875,2759989
890748,273400.8125,2759962
890749,273403.9688,2759916.5
99721025,273403.9688,2759916.5
890750,273410.0625,2759899.5
890751,273423.3125,2759880.5
890752,273442.375,2759854.5
890753,273445.8438,2759922.5
890754,273362.7188,2759950
890755,273308.6875,2759950.25
890756,273272.3125,2759931.5
890757,273255.1563,2759920
890758,273233.6875,2759892.5
890759,273260.0625,2759852
890760,273258.0625,2759832.75
890761,273288.9688,2759771
890762,273299.5938,2759794
890763,273324.2188,2759812.75
890764,273372.625,2759847.5
890765,273399.2188,2759864.75
890766,273516.2188,2759948.5
890767,273574.1563,2759988.5
890768,273608.3125,2760013.25
890769,273644.6563,2760040
890770,273663.625,2760067.5
890772,273241.9063,2759865
890773,273666.0313,2760070.75
890774,273690.9375,2760087.5
890775,273288.6875,2759871.25
890776,273275.2188,2759893
890777,273311.6563,2759887
890778,273330.0938,2759908.75
890780,273349.9688,2759882.25
890781,273343.7188,2759867.25
890782,273304.8125,2759838.25
890783,273279.625,2759824.75
890784,273359.0938,2759894.75
890785,273242.5313,2759801
890786,273223.5,2759783.75
890787,273186.0938,2759779.5
890788,273183.5,2759797
890789,273197.9375,2759811.5
890790,273226.5625,2759833.75
890791,273232.8438,2759752.75
99721026,273232.8438,2759752.75
890792,273271.4063,2759743
890793,273179.375,2759708.25
890794,273161.625,2759756.25
890795,273151.125,2759792.5
890796,273184.9688,2760054.5
890797,273279.0625,2760061
890798,273328.5313,2760075.5
890799,273348.4688,2760067.75
890800,273322.4375,2760047.5
890801,273237.9375,2760059.5
890802,273146.3438,2760058.75
890803,273113.9688,2760086.25
99721027,273113.9688,2760086.25
890804,273101.875,2760124.75
890805,273082.125,2760181.5
890806,273059.625,2760240.75
99721028,273059.625,2760240.75
890807,273046.375,2760280.25
99721029,273046.375,2760280.25
890808,273029.625,2760323
890809,273029.625,2760323
890810,273093.6563,2760151.75
890811,273378.5,2760157.5
890813,273414.9375,2760177.5
890815,273436.5,2760188
890816,273452.5938,2760200.25
890817,273491.3125,2760205.25
890818,273532.3125,2760223.5
890819,273573.3125,2760267.5
890820,273552.7813,2760288.5
890821,273587.1563,2760317
890822,273602.9375,2760323.5
890823,273623,2760260
890824,273625.4063,2760234.75
890825,273647.0938,2760215.5
890826,273563.6875,2760237.75
890827,273592.875,2760190
890828,273610.125,2760160.75
890829,273631.0625,2760111
890830,273655.0313,2760084
890831,273615.5,2760087.5
890832,273594.5938,2760074.5
890833,273570.9375,2760057.5
890834,273547.9688,2760043
890835,273564.875,2760079.75
890836,273581.75,2760098.5
890837,273604.375,2760114.5
890838,273519.8438,2760098.75
890839,273538,2760112.25
890840,273561.8125,2760126.5
890841,273589.5,2760137
890842,273586.6875,2760192.5
890843,273566,2760180
890844,273523.9063,2760155.5
890845,273497.0313,2760141
890846,273456.5625,2760122
890847,273412.6563,2760097.25
890848,273650.4063,2760204
890849,273627.0313,2760200.5
890850,273437.6563,2760232
890851,273459.7813,2760168.5
890852,273480.9688,2760132.75
890853,273497.0938,2760096.75
890854,273546.4063,2759979.75
890855,273556.375,2759950.75
890856,273524.3125,2760032.25
890857,273508.125,2760059.25
890858,273490.5625,2760080.75
890859,273437.5,2760053.5
890860,273401.1563,2760028
890862,273460.5,2760011.5
890863,273474.4688,2759972.75
890866,273490.3438,2759937.75
890867,273463.2188,2759921.5
890868,273708.7813,2760095.5
99720362,273722.9063,2760032
99720363,273722.9063,2760032
99720364,273693.5313,2760015.25
99720365,273693.5313,2760015.25
99720366,273659.375,2759992.25
99720367,273659.375,2759992.25
99720368,273621.9375,2759964.25
99720369,273621.9375,2759964.25
99720370,273599.625,2759949.5
99720371,273599.625,2759949.5
99720372,273559.8125,2759922.5
99720373,273559.8125,2759922.5
99720374,273519.9375,2759894.5
99720375,273519.9375,2759894.5
99720376,273479.0938,2759866.75
99720377,273479.0938,2759866.75
99720378,273446.5,2759837
99720379,273446.5,2759837
99720380,273413.375,2759813
99720381,273413.375,2759813
99720382,273383.1875,2759793
99720383,273383.1875,2759793
99720385,273285.5938,2759799.75
99720386,273358,2759775.5
99720387,273358,2759775.5
99720388,273328.0938,2759752.25
99720389,273328.0938,2759752.25
99720390,273288.7813,2759733
99720391,273288.7813,2759733
99720392,273262.625,2759714.25
99720393,273262.625,2759714.25
99720845,273200.4688,2759669.75
99721030,273200.4688,2759669.75
99724496,273149.19,2759859.33
99724495,0,0
99724158,273207.03,2760094.38
890869,274950.2813,2759328.25
890870,274982.8438,2759343.75
890871,275075.5,2759388.25
890872,275116.5625,2759372
890873,275074.8125,2759361.75
890874,275036.4688,2759351.25
890875,275124.6875,2759335.75
890876,275083.625,2759327.25
890877,275045.625,2759316.75
890878,275148.7813,2759300.75
890879,275101.9688,2759290.5
890880,275054.7813,2759280
890881,275099,2759399.25
890882,275156.9375,2759380.5
890883,275155.2188,2759344.5
890884,275155.2188,2759307.5
890885,275150.8125,2759284.75
890886,275191,2759425.5
890887,275230.7188,2759418.75
890888,275260.2813,2759379
890889,275281.4688,2759354
890201,275299.4063,2759332.5
890891,275251.625,2759361
890892,275248.0313,2759324.5
890893,275226.2188,2759330
890894,275294.0313,2759322
890895,275271.625,2759308.25
890896,275251.625,2759295
890897,275228.9063,2759225.25
890898,275225.0313,2759198.5
890899,275217.2813,2759145.75
890900,275236.375,2759150
890901,275281.1875,2759152.25
890902,275304.4688,2759145.5
890903,275340.3125,2759107.75
890904,275371.6563,2759084.75
890905,275214.875,2759120
890906,275256.625,2759118.25
890907,275284.4688,2759112
890908,275211.5938,2759091.75
890909,275225.9375,2759094
890910,275207.125,2759060
890911,275252.2188,2759061.75
890912,275287.75,2759053.75
890913,275235.375,2759027.75
890914,275262.7813,2759020
890915,275306.625,2759014.5
890916,275201.0625,2759013.75
890917,275195.5625,2758978.25
890918,275243.75,2758963.25
890919,275198.75,2758938
890920,275194.6875,2758905.5
890921,275161.5313,2758907.5
890922,275126.625,2758910.5
890923,275091.1563,2758911.25
890924,275063.4375,2758913.5
890925,275019.9063,2758916.25
890926,275002.3125,2758939.5
890927,275001.1563,2758969
890928,274912.875,2758986.25
890929,274982.4063,2758984.5
890930,275019.0313,2758982
890931,275053.375,2758980.75
890932,275089.0313,2758974.5
890933,275115.9375,2758972.75
890934,275124.0313,2758952.75
890935,275121.7188,2758929.5
890936,275175.8438,2758981.25
890937,275155.75,2758984.75
890938,275093.1563,2758990.5
890939,274943.1563,2759001.5
890940,274766.625,2759290
890941,274790.875,2759264.25
890942,274808.1563,2759269.5
890943,274827.5,2759285.5
890944,274845.9688,2759295
890945,274830.0938,2759242.5
890946,274860.9688,2759204.25
890947,274876.8125,2759177.75
890948,274872.0313,2759154.25
890949,274880.875,2759127.5
890950,274888.375,2759094.25
890951,274890.0938,2759053.5
890952,274904.6875,2759044.25
890953,274917.7813,2759029.5
890954,274952.4063,2759029
890955,274902.5,2759008.75
890956,274884.625,2758983
890957,274881.7188,2758928.5
890958,274879.125,2758894.75
890959,274876.5313,2758855
890960,274875.6563,2758807.75
890961,274881.4375,2758762.25
890962,274886,2758715.75
890963,274930.3125,2758711.75
890964,274935.125,2758741.25
890965,274953.25,2758766.5
890966,274985.875,2758771.25
890967,274995.6563,2758786
890968,274940.875,2758798.75
890969,274954.4063,2758817.5
890970,274987.3125,2758849
890971,274979.8125,2758887.5
890972,274980.9375,2758907.75
890973,274979.2188,2758950
890974,274948.0625,2758938.75
890975,274949,2758922
890976,274954.0625,2758885.5
890977,274951.8125,2758854.75
890978,274919.8125,2758825.5
890979,274920.3125,2758855.25
890980,274920.6563,2758884.5
890981,274918.9375,2758894.25
890982,274918.375,2758925.5
890983,274894.7188,2758816.75
890202,275336.4688,2759308.75
890985,275354.7188,2759288.25
890986,275398.2813,2759229.5
890987,275436.8125,2759172.25
890988,275455.6563,2759162.75
890989,275474.9375,2759163
890990,275479.9375,2759131.5
890991,275493.1563,2759111.25
890992,275513.5,2759077.5
890993,275514.7188,2759052.25
890994,275487.5938,2759025.5
890995,275464.1875,2759000
890996,275418.5625,2758991.25
890997,275408.6875,2758922.75
890998,275400.625,2758991.25
890999,275362.3125,2759004.25
891000,275372.5625,2759016.5
99720394,275372.0938,2758976.75
99720395,275290.7188,2758995.5
99720396,275320.75,2758987.5
99720397,275365.4063,2758947.5
99720398,275334.2188,2758950
99720399,275302.0938,2758957
99720400,275270.125,2758964.5
99720401,275379.7188,2758926
99720402,275449.3125,2758962
99720403,275441.5625,2758936.5
99720404,275434.375,2758904.75
99720405,275479.7188,2758888
99720406,275492.8125,2758932
99720407,275483.125,2758968.5
99721031,275608.5625,2758853.5
99721032,275605.375,2758826.5
99720408,275632,2758860.75
99724042,275419.875,2758889.938
99724027,275172.215,2759168.04
99724028,275166.68,2759147.384
99724029,275165.68,2759118.848
99720410,274926.1563,2759146.25
891001,274706.4688,2759279.5
891002,274686.75,2759261.75
891003,274663.5313,2759239.25
891004,274643.8438,2759221.25
891005,274630.1875,2759210.25
891006,274600.375,2759182.75
891007,274566.5313,2759152.25
891008,274532.9375,2759125
891009,274509.9688,2759109.5
891010,274486.4688,2759094.5
891011,274416,2759052.25
891012,274390.1563,2759032
891013,274341.2188,2758993.75
891014,274315.5,2758965.5
891015,274298.25,2758941.5
891016,274275.9375,2758910.75
891017,274255.0625,2758874.25
891018,274244.9063,2758852.5
891019,274222.75,2758812.25
891020,274184.9688,2758742
891021,274173.6875,2758720.75
891022,274161.875,2758699.5
891023,274147.1563,2758677.25
891024,274134.6563,2758658.75
891025,274112.9063,2758610
891026,274077.875,2758592.75
891027,274114.3125,2758588.25
891029,274144.3438,2758623.5
891030,274160.9375,2758645.25
891031,274170.75,2758660
891032,274186.7188,2758685.25
891033,274195.9688,2758702
891034,274215.3438,2758736.25
891035,274230.2188,2758767.75
891036,274241.9375,2758791
891037,274257.7188,2758819
891038,274273.9688,2758852.5
891039,274286.375,2758876
891041,274298.5,2758896.5
891042,274310.4063,2758915.75
891043,274332,2758944.5
891045,274351,2758967.25
891046,274370.8438,2758986.5
891048,274391.9375,2759004.75
891049,274413.5625,2759019.75
891050,274436.8438,2759033.25
891052,274472.5313,2759054.25
891053,274522.5313,2759085.5
891055,274539.2813,2759097.25
891056,274578.5,2759127
891057,274613.4375,2759157.75
891058,274647.875,2759191.75
891060,274669.4063,2759212.75
891061,274690.9063,2759229.25
891062,274713.4063,2759249.5
891063,274732.5313,2759265.75
891065,274749.4375,2759281.75
891066,274719.6875,2759272.75
99721033,274719.6875,2759272.75
891067,274687.8438,2759244
99721034,274687.8438,2759244
891068,274664.2188,2759222.75
99721035,274664.2188,2759222.75
891069,274639.125,2759199.5
99721036,274639.125,2759199.5
891070,274611,2759173.75
891071,274611,2759173.75
891072,274575.625,2759142.75
99721037,274575.625,2759142.75
891073,274543.25,2759115.25
99721038,274543.25,2759115.25
891074,274510.2188,2759092.5
99722794,274510.2188,2759092.5
891076,274475.5313,2759071.75
99721039,274475.5313,2759071.75
891077,274429.625,2759045
99721040,274429.625,2759045
891078,274396.5,2759024.75
99721041,274396.5,2759024.75
891079,274364.1875,2758996.5
891080,274364.1875,2758996.5
891081,274335.4688,2758968
99721042,274335.4688,2758968
891082,274310.875,2758940.25
891083,274310.875,2758940.25
891084,274290,2758908.5
99721043,274290,2758908.5
891085,274268.4063,2758872
99721044,274268.4063,2758872
891086,274256.6875,2758848.75
99721045,274256.6875,2758848.75
99721046,274231.0313,2758799.5
891087,274231.0313,2758799.5
891088,274200.5625,2758744
99721047,274200.5625,2758744
891089,274180.875,2758704
891090,274180.875,2758704
891091,274162.7188,2758674.5
99721048,274162.7188,2758674.5
891092,274149.0313,2758654.5
891093,274149.0313,2758654.5
99721049,274112.9063,2758610
891094,274112.9063,2758610
99721050,274087.625,2758583
891095,274087.625,2758583
891096,274793.4688,2759253.75
891098,274764.3125,2759227.5
891100,274758.25,2759183.75
891101,274760,2759175
891102,274764.3125,2759107.75
891103,274767.5,2759074
891104,274769.5,2759041
891105,274772.125,2759008.5
891106,274740.6563,2759004.75
891107,274868.4688,2759144
891108,274829.5,2759141.75
891109,274798.375,2759140
891110,274759.125,2759128.75
891111,274735.7813,2759137.5
891112,274710.6563,2759136
891113,274678.0625,2759134.75
99721051,274678.0625,2759134.75
891114,274659.0313,2759152.25
891115,274642.3125,2759171.5
891116,274670.5625,2759106.75
891117,274673.1563,2759074
891118,274676.625,2759041.25
891119,274679.5313,2759006
891120,274807,2758988.25
891121,274854.3125,2758987.75
891122,274838.4688,2758984.25
891123,274833.5625,2758945.25
891124,274828.9375,2758899.5
891125,274824.0313,2758862.5
891126,274821.4375,2758834.25
891127,274860.0938,2758815.75
891128,274830.9688,2758821.75
891129,274786.5313,2758817.25
891130,274752.2188,2758815.75
891131,274719.0313,2758805.75
891132,274699.7188,2758801
891133,274703.7188,2758751.25
891134,274727.1875,2758742.25
891136,274760.4063,2758746
891137,274797.3125,2758748.25
891138,274707.4688,2758710.25
891139,274736.375,2758679
891140,274885.1563,2758692.75
891141,274834.8438,2758696.5
891142,274804.5938,2758685.5
891143,274774.1875,2758682.5
891144,274710.9688,2758676
891145,274715.8125,2758622.25
891146,274872.7813,2758676
891147,274846.4063,2758664.75
891148,274807.2813,2758646.75
891149,274774.3125,2758632.25
891150,274744.0625,2758622.75
891151,274697.125,2758610.75
891152,274670.3438,2758602.75
891153,274641.9688,2758594.5
891154,274591.5313,2758580.5
891155,274551.3125,2758569
891156,274484.9688,2758549.75
891157,274485.3125,2758620.25
891158,274460.5938,2758622.75
891159,274445.4063,2758586.75
891160,274429.7813,2758547.5
891161,274384,2758546.5
891162,274345.2188,2758545.25
891163,274334.9063,2758556.5
891164,274327.75,2758594
99720411,274331.625,2758627.5
99720412,274333.625,2758655.75
99720413,274341.1563,2758687.25
99720414,274370.0313,2758695.75
99720415,274418.2188,2758715.75
99720416,274347.0625,2758731
99720417,274335.0938,2758704.25
99720418,274361.375,2758733
99720419,274378.875,2758740.25
99721052,274550.875,2759146
99721053,274541.9063,2759182.25
99721054,274528.0938,2759212.75
99721055,274304.2188,2758566
99721056,274284.5625,2758578.25
99721057,274253.8438,2758572.5
99721058,274192.8125,2758578.5
99721059,274162.3125,2758579.5
99721060,274114.6875,2758578.75
99721061,274299.625,2758733.25
99721062,274299.625,2758733.25
99721063,274284.1875,2758744.5
99720902,274260.4375,2758763.25
99722865,274449.7188,2759038.75
99722866,274459.375,2759002.75
99722867,274456.6563,2758961
99722868,274465.9375,2758937
99722869,274499.9375,2758912.25
99722870,274522.7188,2758909
99722871,274555.9375,2758900.5
99722872,274572.1563,2758879.5
99722873,274595.7188,2758853
28770,,
99720420,274857.0313,2758698.75
99720421,274728.2813,2759137.5
99720422,274344.6563,2758727.5
99720423,274860.375,2758886.75
99722874,274599.1875,2758851
99722875,274625.0938,2758840.5
99722876,274625.0938,2758840.5
891165,273711.9063,2758967.25
891166,273677.4375,2758797.75
891167,273671.9688,2758775
891168,273651.0313,2758781.75
891169,273640.125,2758787.25
891170,273632.2188,2758794.5
891171,273624.2188,2758716.75
891172,273592.4688,2758752
891173,273635.8125,2758702.75
891174,273600.0938,2758697
891175,273576.3125,2758727.5
891176,273557.8125,2758750.25
891177,273532.3125,2758789.25
891178,273549.7188,2758800.5
891179,273565.7188,2758779.75
891180,273538.2813,2758821.25
891181,273581.0313,2758820
891182,273569.5938,2758842.75
891183,273606.875,2758779.75
891184,273604.25,2758834
891185,273596.875,2758860.5
891186,273631.5313,2758846.75
891187,273625.1875,2758869.75
891188,273646.125,2758828.5
891189,273656.8438,2758810.5
891190,273509.0938,2758831.5
891191,273533.1875,2758846.25
891192,273570.8438,2758870.5
891193,273551.6563,2758902
891194,273545.7188,2758917.75
891195,273515.25,2758941.5
891196,273488.3438,2758931.25
891197,273600.5625,2758889.5
891198,273581.75,2758917.5
891199,273620.9688,2758902
891200,273606.375,2758928.75
891201,273659,2758914.75
891202,273676.1875,2758902
891203,273625.875,2758932
891204,273609.875,2758949.5
891205,273604.625,2758971
891206,273646.6563,2758985.25
891207,273668.8125,2759024
891208,273654.5625,2759035
891209,273635.2188,2759052
891210,273610.75,2759074.25
891211,273586.6563,2759037.25
891212,273579.9688,2759020
891213,273619.9063,2758999.5
891214,273589.3125,2758973
891215,273481.8125,2758858.75
